Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	tmp
60948	-4.905900478363037100	0.738784730434417720	-8.366147994995117200	-0.022730508819222450	-0.001781145227141678	-0.263833343982696530	-0.225021317601203920	0.017924271523952484	0.477642267942428590	
60949	-4.891274452209472700	0.744357407093048100	-8.373723983764648400	-0.052793104201555252	-0.008507193997502327	-0.254870384931564330	-0.223839581012725830	0.018109584227204323	0.475875049829483030	
60950	-4.919021129608154300	0.746077120304107670	-8.372930526733398400	-0.062602907419204712	0.016628725454211235	-0.254711300134658810	-0.224979758262634280	0.018252678215503693	0.476088076829910280	
60951	-4.913198471069335900	0.748018443584442140	-8.358585357666015600	-0.054814212024211884	0.011110422201454639	-0.247162550687789920	-0.225171461701393130	0.017696293070912361	0.477244675159454350	
60952	-4.911757469177246100	0.744229733943939210	-8.380397796630859400	-0.067925944924354553	0.003468089271336794	-0.252521365880966190	-0.224800854921340940	0.018076656386256218	0.477003335952758790	
60953	-4.891239166259765600	0.744366049766540530	-8.371914863586425800	-0.060613371431827545	0.011589852161705494	-0.306010067462921140	-0.223476082086563110	0.018748123198747635	0.475505471229553220	
60954	-4.895019531250000000	0.784999549388885500	-8.365858078002929700	-0.059237323701381683	0.015504463575780392	-0.250413089990615840	-0.223454490303993230	0.018476556986570358	0.475893944501876830	
60955	-4.889384269714355500	0.781349122524261470	-8.362441062927246100	-0.067528560757637024	0.012076475657522678	-0.236167937517166140	-0.223176717758178710	0.017317976802587509	0.476286470890045170	
60956	-4.882273197174072300	0.766523778438568120	-8.380930900573730500	-0.038508631289005280	0.008956059813499451	-0.244049713015556340	-0.223753020167350770	0.017400540411472321	0.477431774139404300	
60957	-4.886008262634277300	0.759103238582611080	-8.384543418884277300	-0.049062725156545639	0.009198276326060295	-0.276676088571548460	-0.225243970751762390	0.017511762678623199	0.475941568613052370	
60958	-4.889595508575439500	0.788692057132720950	-8.371392250061035200	-0.039628356695175171	-0.013993156142532825	-0.248494192957878110	-0.224573507905006410	0.017467902973294258	0.476488798856735230	
60959	-4.871207714080810500	0.803540468215942380	-8.373522758483886700	-0.048637866973876953	0.035289991647005081	-0.257002651691436770	-0.225713267922401430	0.018491178750991821	0.476708471775054930	
60960	-4.867230415344238300	0.774047017097473140	-8.366770744323730500	-0.048566892743110657	0.011214762926101685	-0.257052570581436160	-0.224452257156372070	0.017848402261734009	0.476366877555847170	
60961	-4.889369487762451200	0.762866139411926270	-8.366298675537109400	-0.043225720524787903	0.015626152977347374	-0.259258627891540530	-0.225028976798057560	0.017050784081220627	0.477505534887313840	
60962	-4.907751560211181600	0.784992396831512450	-8.354642868041992200	-0.018360827118158340	0.005867452826350927	-0.261706620454788210	-0.225735157728195190	0.018134044483304024	0.476315259933471680	
60963	-4.911396026611328100	0.788685977458953860	-8.350872993469238300	-0.035224847495555878	-0.036967437714338303	-0.248606175184249880	-0.224672302603721620	0.018576201051473618	0.477012455463409420	
60964	-4.898462772369384800	0.775801837444305420	-8.355018615722656200	-0.024641878902912140	0.017802115529775620	-0.251789659261703490	-0.223931327462196350	0.018833966925740242	0.476525992155075070	
60965	-4.867126464843750000	0.759283185005187990	-8.365152359008789100	-0.037524715065956116	0.028663346543908119	-0.246173679828643800	-0.224352911114692690	0.017871767282485962	0.475851744413375850	
60966	-4.863759994506835900	0.731488883495330810	-8.389136314392089800	-0.026678752154111862	0.013390791602432728	-0.246288374066352840	-0.225286737084388730	0.018935078755021095	0.475171267986297610	
60967	-4.887524604797363300	0.733294904232025150	-8.373970031738281200	-0.044380113482475281	0.020021261647343636	-0.261390745639801030	-0.224359720945358280	0.018758645281195641	0.475728243589401250	
60968	-4.900381088256835900	0.729559957981109620	-8.370039939880371100	-0.048675131052732468	-0.010612052865326405	-0.263627350330352780	-0.226570725440979000	0.016957392916083336	0.475102603435516360	
60969	-4.886062145233154300	0.755392789840698240	-8.388209342956543000	-0.028805920854210854	-0.009583815932273865	-0.247453257441520690	-0.226247891783714290	0.019153630360960960	0.476301431655883790	
60970	-4.884211540222168000	0.762796163558959960	-8.386356353759765600	-0.047435753047466278	-0.001910049119032919	-0.256001442670822140	-0.224772140383720400	0.017546914517879486	0.477520018815994260	
60971	-4.882249832153320300	0.746194183826446530	-8.384813308715820300	-0.043047931045293808	0.015572646632790565	-0.251608163118362430	-0.224744454026222230	0.019146114587783813	0.475715041160583500	
60972	-4.889599323272705100	0.766507267951965330	-8.377107620239257800	-0.051698800176382065	0.025380732491612434	-0.250430762767791750	-0.225387051701545720	0.016899866983294487	0.475671231746673580	
60973	-4.907873630523681600	0.796054422855377200	-8.358118057250976600	-0.043741930276155472	0.008874204009771347	-0.237488552927970890	-0.224188536405563350	0.017583394423127174	0.476505815982818600	
60974	-4.885701656341552700	0.792454123497009280	-8.360590934753418000	-0.052682500332593918	-0.015105862170457840	-0.251661121845245360	-0.225486040115356450	0.017630945891141891	0.476192057132720950	
60975	-4.895034790039062500	0.803482532501220700	-8.361999511718750000	-0.048646043986082077	0.001401756191626191	-0.261472612619400020	-0.226134419441223140	0.018409162759780884	0.476040869951248170	
60976	-4.889545440673828100	0.770217716693878170	-8.373440742492675800	-0.060064457356929779	0.000114773094537668	-0.241712972521781920	-0.224566087126731870	0.017838429659605026	0.476621776819229130	
60977	-4.871284484863281200	0.766548454761505130	-8.386667251586914100	-0.055302239954471588	0.035330828279256821	-0.263457000255584720	-0.224837884306907650	0.016349766403436661	0.476339459419250490	
60978	-4.876681804656982400	0.764711201190948490	-8.379299163818359400	-0.047828048467636108	-0.005061360541731119	-0.272372037172317500	-0.226769238710403440	0.017287883907556534	0.476135700941085820	
60979	-4.904283046722412100	0.788650453090667720	-8.365553855895996100	-0.020528310909867287	0.004772393964231014	-0.261693149805068970	-0.226734489202499390	0.018503168597817421	0.474458009004592900	
60980	-4.889878273010253900	0.796017646789550780	-8.383961677551269500	-0.050483301281929016	-0.004172214306890965	-0.248375132679939270	-0.224979698657989500	0.018378417938947678	0.476089030504226680	
60981	-4.878723144531250000	0.783142387866973880	-8.384437561035156200	-0.053301397711038589	0.006969644688069820	-0.273393899202346800	-0.225799575448036190	0.019703185185790062	0.475155532360076900	
60982	-4.893631458282470700	0.784895300865173340	-8.389430999755859400	-0.034004952758550644	-0.008213775232434273	-0.282336115837097170	-0.226483136415481570	0.018385935574769974	0.476675420999526980	
60983	-4.882352828979492200	0.768352985382080080	-8.384526252746582000	-0.039872374385595322	-0.007349576801061630	-0.257179290056228640	-0.225199878215789790	0.018854737281799316	0.476732701063156130	
60984	-4.891149997711181600	0.748085200786590580	-8.366438865661621100	-0.052775964140892029	-0.012887638062238693	-0.254887849092483520	-0.225186243653297420	0.017080981284379959	0.476979702711105350	
60985	-4.891398906707763700	0.740629613399505620	-8.381010055541992200	-0.028565181419253349	0.012196395546197891	-0.235377594828605650	-0.225464314222335820	0.017610860988497734	0.476582407951354980	
60986	-4.904749393463134800	0.751563072204589840	-8.398600578308105500	-0.067660436034202576	0.020876014605164528	-0.239384278655052190	-0.223054498434066770	0.019710322842001915	0.476179689168930050	
60987	-4.904618263244628900	0.738654494285583500	-8.395149230957031200	-0.063604280352592468	0.002394801238551736	-0.252555489540100100	-0.226618736982345580	0.018270306289196014	0.476538985967636110	
60988	-4.893617630004882800	0.759017407894134520	-8.395194053649902300	-0.050001800060272217	0.013523373752832413	-0.270109027624130250	-0.225720494985580440	0.018497874960303307	0.476578354835510250	
60989	-4.886229991912841800	0.814508855342864990	-8.382016181945800800	-0.037880830466747284	0.006925140973180533	-0.262646615505218510	-0.225672721862792970	0.016681998968124390	0.475138157606124880	
60990	-4.893681526184082000	0.803369641304016110	-8.387382507324218700	-0.064809843897819519	-0.008499926887452602	-0.259178906679153440	-0.224957868456840520	0.018609814345836639	0.476481288671493530	
60991	-4.890007495880127000	0.762710094451904300	-8.398867607116699200	-0.045425739139318466	0.011269185692071915	-0.260340720415115360	-0.224616989493370060	0.017382333055138588	0.475707143545150760	
60992	-4.874717712402343700	0.762899100780487060	-8.373946189880371100	-0.034567706286907196	0.013468066230416298	-0.259338706731796260	-0.224495813250541690	0.017637092620134354	0.475584268569946290	
60993	-4.867743968963623000	0.777618765830993650	-8.392054557800293000	-0.051814217120409012	0.015585856512188911	-0.255920857191085820	-0.225686907768249510	0.017324091866612434	0.474882662296295170	
60994	-4.867941856384277300	0.759083747863769530	-8.406768798828125000	-0.068993061780929565	-0.006369565147906542	-0.252550035715103150	-0.225885421037673950	0.017654584720730782	0.475915759801864620	
60995	-4.881929397583007800	0.753667175769805910	-8.366623878479003900	-0.035265322774648666	-0.006341798231005669	-0.246296867728233340	-0.225272431969642640	0.018544467166066170	0.475428670644760130	
60996	-4.889324188232421900	0.768423199653625490	-8.362607955932617200	-0.054869942367076874	-0.017290808260440826	-0.252719253301620480	-0.225287631154060360	0.017048971727490425	0.475157052278518680	
60997	-4.876544952392578100	0.788777232170104980	-8.366322517395019500	-0.103492431342601780	-0.002156051341444254	-0.247904792428016660	-0.225129783153533940	0.018276179209351540	0.475692361593246460	
60998	-4.874646663665771500	0.762916445732116700	-8.370327949523925800	-0.055240433663129807	0.026560001075267792	-0.262392342090606690	-0.226548582315444950	0.017817489802837372	0.475499600172042850	
60999	-4.864028453826904300	0.773942530155181880	-8.392205238342285200	-0.042088855057954788	0.019992262125015259	-0.255988150835037230	-0.226222187280654910	0.016603399068117142	0.474465221166610720	
61000	-4.878674983978271500	0.749878227710723880	-8.390295982360839800	-0.064610801637172699	-0.003100392175838351	-0.250390529632568360	-0.226006060838699340	0.018531486392021179	0.476047158241271970	
61001	-4.876818180084228500	0.740645229816436770	-8.392276763916015600	-0.043331604450941086	-0.010566174983978271	-0.265861183404922490	-0.226164400577545170	0.016298357397317886	0.475504279136657710	
61002	-4.904143333435058600	0.773895263671875000	-8.362126350402832000	-0.035799864679574966	-0.008351741358637810	-0.268133997917175290	-0.225321546196937560	0.017594054341316223	0.476848006248474120	
61003	-4.878552913665771500	0.792427241802215580	-8.373461723327636700	-0.046347286552190781	0.009019028395414352	-0.254912585020065310	-0.225364908576011660	0.017759965732693672	0.476068228483200070	
